省,年份,家谱数量
宁夏回族自治区,2009,1
宁夏回族自治区,2012,2
宁夏回族自治区,2013,3
宁夏回族自治区,2014,3
宁夏回族自治区,2015,4
宁夏回族自治区,2016,3
宁夏回族自治区,2017,1
宁夏回族自治区,2018,3
宁夏回族自治区,2019,4
宁夏回族自治区,2020,1
安徽,1271,1
安徽,1337,1
安徽,1386,1
安徽,1389,1
安徽,1438,1
安徽,1439,2
安徽,1451,1
安徽,1463,1
安徽,1467,1
安徽,1468,2
安徽,1470,1
安徽,1471,1
安徽,1473,1
安徽,1474,2
安徽,1480,1
安徽,1482,1
安徽,1487,2
安徽,1492,1
安徽,1498,1
安徽,1499,1
安徽,1500,1
安徽,1501,1
安徽,1506,1
安徽,1507,1
安徽,1511,1
安徽,1515,1
安徽,1516,1
安徽,1517,1
安徽,1518,1
安徽,1527,1
安徽,1530,3
安徽,1531,1
安徽,1532,3
安徽,1533,1
安徽,1535,1
安徽,1537,2
安徽,1538,2
安徽,1539,1
安徽,1540,1
安徽,1541,5
安徽,1542,1
安徽,1544,2
安徽,1545,1
安徽,1546,1
安徽,1549,2
安徽,1551,1
安徽,1552,1
安徽,1553,1
安徽,1555,3
安徽,1556,1
安徽,1558,3
安徽,1559,1
安徽,1560,2
安徽,1562,1
安徽,1563,1
安徽,1564,1
安徽,1565,1
安徽,1566,2
安徽,1567,1
安徽,1568,1
安徽,1569,2
安徽,1570,4
安徽,1572,4
安徽,1573,2
安徽,1574,1
安徽,1575,1
安徽,1576,1
安徽,1577,2
安徽,1578,3
安徽,1579,2
安徽,1580,1
安徽,1581,1
安徽,1582,3
安徽,1583,2
安徽,1584,2
安徽,1586,3
安徽,1587,1
安徽,1588,1
安徽,1592,3
安徽,1593,1
安徽,1594,3
安徽,1596,2
安徽,1598,2
安徽,1599,4
安徽,1601,1
安徽,1602,2
安徽,1604,1
安徽,1606,4
安徽,1607,1
安徽,1608,2
安徽,1610,1
安徽,1612,5
安徽,1615,2
安徽,1616,1
安徽,1617,1
安徽,1618,1
安徽,1621,2
安徽,1624,2
安徽,1625,1
安徽,1626,1
安徽,1627,1
安徽,1628,1
安徽,1629,1
安徽,1630,4
安徽,1631,2
安徽,1632,1
安徽,1635,1
安徽,1637,1
安徽,1638,1
安徽,1641,2
安徽,1643,2
安徽,1644,3
安徽,1647,1
安徽,1651,1
安徽,1652,1
安徽,1657,2
安徽,1659,2
安徽,1660,1
安徽,1663,1
安徽,1666,3
安徽,1668,2
安徽,1669,1
安徽,1670,3
安徽,1671,1
安徽,1672,1
安徽,1673,3
安徽,1675,1
安徽,1679,1
安徽,1680,1
安徽,1681,2
安徽,1682,2
安徽,1683,1
安徽,1684,3
安徽,1685,3
安徽,1687,1
安徽,1688,1
安徽,1690,1
安徽,1691,1
安徽,1692,1
安徽,1693,1
安徽,1694,1
安徽,1695,2
安徽,1696,1
安徽,1698,1
安徽,1700,2
安徽,1701,2
安徽,1702,2
安徽,1704,1
安徽,1705,1
安徽,1707,1
安徽,1709,1
安徽,1710,2
安徽,1711,1
安徽,1712,1
安徽,1716,3
安徽,1718,1
安徽,1719,1
安徽,1720,3
安徽,1721,2
安徽,1722,1
安徽,1723,1
安徽,1724,1
安徽,1726,1
安徽,1729,1
安徽,1730,2
安徽,1731,2
安徽,1732,1
安徽,1733,1
安徽,1735,1
安徽,1736,2
安徽,1737,2
安徽,1738,2
安徽,1739,5
安徽,1740,3
安徽,1741,9
安徽,1742,1
安徽,1744,2
安徽,1745,5
安徽,1746,1
安徽,1747,9
安徽,1748,2
安徽,1750,1
安徽,1751,2
安徽,1752,2
安徽,1753,2
安徽,1754,1
安徽,1755,2
安徽,1756,1
安徽,1757,4
安徽,1758,2
安徽,1759,3
安徽,1760,2
安徽,1761,4
安徽,1762,2
安徽,1763,2
安徽,1764,2
安徽,1765,3
安徽,1766,4
安徽,1767,4
安徽,1768,5
安徽,1771,3
安徽,1772,1
安徽,1773,3
安徽,1774,5
安徽,1775,1
安徽,1776,3
安徽,1777,2
安徽,1778,5
安徽,1779,3
安徽,1780,5
安徽,1781,1
安徽,1782,3
安徽,1783,3
安徽,1784,1
安徽,1785,5
安徽,1787,4
安徽,1789,1
安徽,1793,3
安徽,1796,2
安徽,1797,3
安徽,1798,2
安徽,1800,4
安徽,1801,2
安徽,1802,1
安徽,1803,3
安徽,1804,3
安徽,1805,5
安徽,1806,3
安徽,1807,3
安徽,1808,2
安徽,1809,5
安徽,1810,1
安徽,1811,6
安徽,1812,4
安徽,1813,1
安徽,1814,4
安徽,1815,2
安徽,1816,1
安徽,1817,1
安徽,1818,3
安徽,1819,5
安徽,1820,2
安徽,1821,3
安徽,1822,7
安徽,1823,3
安徽,1824,1
安徽,1825,2
安徽,1826,2
安徽,1827,7
安徽,1828,2
安徽,1829,6
安徽,1830,6
安徽,1831,1
安徽,1832,4
安徽,1836,3
安徽,1838,3
安徽,1839,10
安徽,1840,2
安徽,1841,5
安徽,1842,4
安徽,1843,2
安徽,1844,3
安徽,1845,2
安徽,1846,9
安徽,1847,3
安徽,1848,8
安徽,1849,8
安徽,1850,3
安徽,1851,3
安徽,1852,3
安徽,1853,2
安徽,1854,2
安徽,1855,1
安徽,1857,3
安徽,1858,1
安徽,1859,1
安徽,1861,3
安徽,1862,4
安徽,1863,1
安徽,1864,3
安徽,1865,11
安徽,1866,16
